 U. S. GRANT HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,1563,2016-09-14 18:06:14,
 PUTNAM CITY NORTH HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,1987,2016-09-14 18:06:14,
 OKMULGEE HS,OKMULGEE,OKMULGEE COUNTY,744,432,2016-09-14 18:06:14,
 OKTAHA HS,OKTAHA,MUSKOGEE COUNTY,744,232,2016-09-14 18:06:14,
 OLUSTEE HS,OLUSTEE,JACKSON COUNTY,735,57,2016-09-14 18:06:14,
 LOMEGA HS,OMEGA,KINGFISHER COUNTY,737,50,2016-09-14 18:06:14,
 OOLOGAH-TALALA HS,OOLOGAH,ROGERS COUNTY,740,587,2016-09-14 18:06:14,
 MULHALL-ORLANDO HS,ORLANDO,LOGAN COUNTY,730,69,2016-09-14 18:06:14,
 OWASSO HS,OWASSO,TULSA COUNTY,740,1252,2016-09-14 18:06:14,
 PADEN HS,PADEN,OKFUSKEE COUNTY,748,72,2016-09-14 18:06:14,
