School,LocCity,MailCity,County,Teachers,Grade7,Grade8,Grade9,Grade10,Grade11,Grade12,Ungraded,PreTotal,ElemTotal,HSTotal,STRatio
BOSWELL ES,BOSWELL,BOSWELL,CHOCTAW COUNTY,12.4,,,,,,,,75,160,,18.95
BOSWELL HS,BOSWELL,BOSWELL,CHOCTAW COUNTY,7.9,,,25,25,19,30,,,,99,12.53
BOSWELL MS,BOSWELL,BOSWELL,CHOCTAW COUNTY,3,28,16,,,,,,,44,,14.67
BOWLEGS ES,BOWLEGS,BOWLEGS,SEMINOLE COUNTY,15.3,21,27,,,,,,30,187,,14.18
BOWLEGS HS,BOWLEGS,BOWLEGS,SEMINOLE COUNTY,7.9,,,25,25,24,24,,,,98,12.41
BOWRING PUBLIC SCHOOL,BOWRING,PAWHUSKA,OSAGE COUNTY,7,6,6,,,,,,12,53,,9.29
BOYNTON-MOTON ES,BOYNTON,BOYNTON,MUSKOGEE COUNTY,4.2,9,3,,,,,,13,42,,13.1
BOYNTON-MOTON HS,BOYNTON,BOYNTON,MUSKOGEE COUNTY,1.1,,,0,0,0,0,,,,0,0
BRADLEY ES,DRUMRIGHT,DRUMRIGHT,CREEK COUNTY,15.9,,,,,,,,97,170,,16.79
BRAGGS ES,BRAGGS,BRAGGS,MUSKOGEE COUNTY,10.8,17,15,,,,,,35,115,,13.89
BRAGGS HS,BRAGGS,BRAGGS,MUSKOGEE COUNTY,6,,,16,22,15,15,,,,68,11.33
BRAMAN PUBLIC SCHOOL,BRAMAN,BRAMAN,KAY COUNTY,6.1,9,5,,,,,,20,47,,10.98
BRANTLY ES,ANTLERS,ANTLERS,PUSHMATAHA COUNTY,33.9,,,,,,,,147,382,,15.6
BRASSFIELD 5TH & 6TH GRADE CTR,BIXBY,BIXBY,TULSA COUNTY,21.6,,,,,,,,,334,,15.46
BRAY-DOYLE ES,MARLOW,MARLOW,STEPHENS COUNTY,21.5,36,33,,,,,,46,250,,13.77
BRAY-DOYLE HS,MARLOW,MARLOW,STEPHENS COUNTY,9.8,,,28,30,36,24,,,,118,12.04
BRIARGLEN ES,TULSA,TULSA,TULSA COUNTY,36.2,,,,,,,,146,395,,14.94
BRIARWOOD ES,OKLAHOMA CITY,OKLAHOMA CITY,CLEVELAND COUNTY,37.2,,,,,,,,118,535,,17.55
BRIDGE CREEK ES,BLANCHARD,BLANCHARD,GRADY COUNTY,38,,,,,,,,150,520,,17.63
BRIDGE CREEK HS,BLANCHARD,BLANCHARD,GRADY COUNTY,23.7,,,117,98,110,101,,,,426,17.97
BRIDGE CREEK MS,BLANCHARD,BLANCHARD,GRADY COUNTY,16.6,111,108,,,,,,,321,,19.34
BRIGGS PUBLIC SCHOOL,TAHLEQUAH,TAHLEQUAH,CHEROKEE COUNTY,33.2,49,48,,,,,,126,409,,16.11
BRINK JHS,OKLAHOMA CITY,OKLAHOMA CITY,CLEVELAND COUNTY,51.6,438,438,,,,,,,876,,16.98
BRISTOW HS,BRISTOW,BRISTOW,CREEK COUNTY,31.6,,,128,137,106,120,,,,491,15.54
BRISTOW MS,BRISTOW,BRISTOW,CREEK COUNTY,23.1,123,123,,,,,2,,366,,15.93
BRITTON ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,20.9,,,,,,,,103,300,,19.28
BROADMOORE ES,MOORE,MOORE,CLEVELAND COUNTY,32.9,,,,,,,,78,496,,17.45
BROCKLAND ES,LAWTON,LAWTON,COMANCHE COUNTY,15.3,,,,,,,,35,221,,16.73
BROKEN ARROW HS,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,129.3,,,3,35,1111,1111,,,,2260,17.48
BROKEN ARROW N INTERMEDIATE HS,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,65.2,,,647,653,,,,,,1300,19.94
BROKEN ARROW S INTERMEDIATE HS,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,63,,,543,598,,,,,,1141,18.11
BROKEN BOW HS,BROKEN BOW,BROKEN BOW,MCCURTAIN COUNTY,42.1,,,158,130,143,138,,,,569,13.52
BRUSHY PUBLIC SCHOOL,SALLISAW,SALLISAW,SEQUOYAH COUNTY,18.7,22,30,,,,,,79,230,,16.52
BRYANT ES,OKLAHOMA CITY,OKLAHOMA CITY,CLEVELAND COUNTY,31.3,,,,,,,,74,469,,17.35
BRYANT ES,TULSA,TULSA,TULSA COUNTY,27,,,,,,,,143,274,,15.44
BUCHANAN ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,24.6,,,,,,,,139,304,,18.01
BUFFALO ES,BUFFALO,BUFFALO,HARPER COUNTY,13.6,19,21,,,,,,56,150,,15.15
BUFFALO HS,BUFFALO,BUFFALO,HARPER COUNTY,7.3,,,27,15,23,21,,,,86,11.78
BUFFALO VALLEY ES,TALIHINA,TALIHINA,LE FLORE COUNTY,9.8,11,20,,,,,,26,104,,13.27
BUFFALO VALLEY HS,TALIHINA,TALIHINA,LE FLORE COUNTY,5,,,15,14,12,11,,,,52,10.4
BURCHAM ES,WEATHERFORD,WEATHERFORD,CUSTER COUNTY,23.8,,,,,,,,309,133,,18.57
BURLINGTON ES,BURLINGTON,BURLINGTON,ALFALFA COUNTY,9.2,10,12,,,,,,23,86,,11.85
BURLINGTON HS,BURLINGTON,BURLINGTON,ALFALFA COUNTY,6.2,,,7,14,16,15,,,,52,8.39
BURNS FLAT-DILL CITY HS,BURNS FLAT,BURNS FLAT,WASHITA COUNTY,13.2,,,31,41,37,33,,,,142,10.76
BURROUGHS ES,TULSA,TULSA,TULSA COUNTY,18.9,,,,,,,,84,199,,14.97
BUTNER ES,CROMWELL,CROMWELL,SEMINOLE COUNTY,12,21,14,,,,,,27,113,,11.67
BUTNER HS,CROMWELL,CROMWELL,SEMINOLE COUNTY,6.7,,,17,11,14,13,,,,55,8.21
BYARS PUBLIC SCHOOL,BYARS,BYARS,MCCLAIN COUNTY,5.3,6,5,,,,,,10,41,,9.62
BYNG ES,ADA,ADA,PONTOTOC COUNTY,15.3,,,,,,,,,252,,16.47
BYNG HS,ADA,ADA,PONTOTOC COUNTY,26.9,,,,116,88,98,,,,302,11.23
BYNG JHS,ADA,ADA,PONTOTOC COUNTY,22.5,111,110,111,,,,,,221,111,14.76
BYRD MS,TULSA,TULSA,TULSA COUNTY,33.8,194,158,,,,,,,540,,15.98
CACHE HS,CACHE,CACHE,COMANCHE COUNTY,31.2,,,154,138,117,137,17,,,546,18.04
CACHE INTERMEDIATE ES,CACHE,CACHE,COMANCHE COUNTY,21.4,,,,,,,,,324,,15.14
CACHE MS,CACHE,CACHE,COMANCHE COUNTY,26,138,126,,,,,14,,385,,15.35
CACHE PRIMARY ES,CACHE,CACHE,COMANCHE COUNTY,25.6,,,,,,,7,188,249,,17.34
CADDO ES,CADDO,CADDO,BRYAN COUNTY,25.1,42,33,,,,,1,65,299,,14.54
CADDO HS,CADDO,CADDO,BRYAN COUNTY,11.4,,,33,30,32,43,1,,,138,12.19
CALERA ES,CALERA,CALERA,BRYAN COUNTY,32.1,44,43,,,,,,85,370,,14.17
CALERA HS,CALERA,CALERA,BRYAN COUNTY,13.9,,,51,40,41,46,,,,178,12.81
CALUMET ES,CALUMET,CALUMET,CANADIAN COUNTY,8.6,,,,,,,,30,108,,16.05
CALUMET HS,CALUMET,CALUMET,CANADIAN COUNTY,7.1,,,35,25,18,20,,,,98,13.8
CALUMET JHS,CALUMET,CALUMET,CANADIAN COUNTY,3.2,25,14,,,,,,,39,,12.19
CALVIN ES,CALVIN,CALVIN,HUGHES COUNTY,10.8,9,15,,,,,,30,102,,12.22
CALVIN HS,CALVIN,CALVIN,HUGHES COUNTY,5.5,,,14,11,10,14,,,,49,8.91
CAMERON ES,CAMERON,CAMERON,LE FLORE COUNTY,12.4,34,19,,,,,,33,199,,18.71
CAMERON HS,CAMERON,CAMERON,LE FLORE COUNTY,10.1,,,29,28,36,28,,,,121,11.98
CANADIAN ES,CANADIAN,CANADIAN,PITTSBURG COUNTY,23.5,36,38,,,,,1,54,255,,13.19
CANADIAN HS,CANADIAN,CANADIAN,PITTSBURG COUNTY,12.8,,,30,40,30,36,,,,136,10.63
CANEY ES,CANEY,CANEY,ATOKA COUNTY,11.8,21,17,,,,,,30,140,,14.41
CANEY HS,CANEY,CANEY,ATOKA COUNTY,7,,,14,17,20,23,,,,74,10.57
CANEY VALLEY ES,OCHELATA,OCHELATA,WASHINGTON COUNTY,21.3,,,,,,,,121,250,,17.42
CANEY VALLEY HS,RAMONA,RAMONA,WASHINGTON COUNTY,15.1,,,58,56,75,61,,,,250,16.56
CANEY VALLEY MS,RAMONA,RAMONA,WASHINGTON COUNTY,11.6,45,40,,,,,,,131,,11.29
CANTON ES,CANTON,CANTON,BLAINE COUNTY,20,38,30,,,,,,57,234,,14.55
CANTON HS,CANTON,CANTON,BLAINE COUNTY,11.2,,,22,25,33,26,,,,106,9.46
CANUTE ES,CANUTE,CANUTE,WASHITA COUNTY,13.8,23,23,,,,,4,53,188,,17.75
CANUTE HS,CANUTE,CANUTE,WASHITA COUNTY,12.4,,,23,19,22,22,92,,,86,14.35
CAPITOL HILL ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,53,,,,,,,1,329,800,,21.32
CAPITOL HILL HS,OKC,OKLAHOMA CITY,OKLAHOMA COUNTY,64.7,,,380,320,174,167,,,,1041,16.09
CARL ALBERT HS,MIDWEST CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,61.7,,,284,267,275,231,,,,1057,17.13
CARL ALBERT MS,MIDWEST CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,49,276,269,,,,,,,833,,17
CARNEGIE ES,TULSA,TULSA,TULSA COUNTY,23.5,,,,,,,,62,364,,18.13
CARNEGIE ES,CARNEGIE,CARNEGIE,CADDO COUNTY,21,,,,,,,,73,249,,15.33
CARNEGIE HS,CARNEGIE,CARNEGIE,CADDO COUNTY,14.2,,,42,33,42,43,,,,160,11.27
CARNEGIE MS,CARNEGIE,CARNEGIE,CADDO COUNTY,9.9,49,39,,,,,,,141,,14.24
CARNEY ES,CARNEY,CARNEY,LINCOLN COUNTY,12.4,13,19,,,,,,29,129,,12.74
CARNEY HS,CARNEY,CARNEY,LINCOLN COUNTY,6.2,,,14,15,9,12,,,,50,8.06
CARRIAGE HILLS ES,LAWTON,LAWTON,COMANCHE COUNTY,21.5,,,,,,,,92,259,,16.33
CARRIER ES,GUYMON,GUYMON,TEXAS COUNTY,5.4,,,,,,,,164,,,30.37
CARVER MS,TULSA,TULSA,TULSA COUNTY,35,209,201,,,,,,,641,,18.31
CASHION ES,CASHION,CASHION,KINGFISHER COUNTY,23.9,42,30,,,,,,75,304,,15.86
