School,LocCity,MailCity,County,Teachers,Grade7,Grade8,Grade9,Grade10,Grade11,Grade12,Ungraded,PreTotal,ElemTotal,HSTotal,STRatio
PARK ROAD ES,CHANDLER,CHANDLER,LINCOLN COUNTY,22.3,,,,,,,,,332,,14.89
PARKER INTERMEDIATE CTR,MCALESTER,MCALESTER,PITTSBURG COUNTY,23.6,,,,,,,4,,388,,16.61
PARKLAND ES,YUKON,YUKON,CANADIAN COUNTY,29.9,,,,,,,,171,408,,19.36
PARKVIEW ES,STROUD,STROUD,LINCOLN COUNTY,26.5,,,,,,,,116,329,,16.79
PARKVIEW ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,35.9,,,,,,,,173,520,,19.3
PARKVIEW-OK. SCH FOR THE BLIND,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,,5,9,,,,,,6,48,,
PARKVIEW-OK. SCH FOR THE BLIND,MUSKOGE,MUSKOGEE,MUSKOGEE COUNTY,,,,11,6,6,15,,,,38,
PARMELEE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,36.5,,,,,,,,142,613,,20.68
PAT HENRY ES,LAWTON,LAWTON,COMANCHE COUNTY,37.4,,,,,,,,79,439,,13.85
PATRICK HENRY ES,TULSA,TULSA,TULSA COUNTY,28.9,,,,,,,,120,360,,16.61
PAULS VALLEY HS,PAULS VALLEY,PAULS VALLEY,GARVIN COUNTY,22.1,,,,130,104,102,,,,336,15.2
PAULS VALLEY JHS,PAULS VALLEY,PAULS VALLEY,GARVIN COUNTY,16.3,90,67,106,,,,,,157,106,16.13
PAWHUSKA ES,PAWHUSKA,PAWHUSKA,OSAGE COUNTY,17.7,,,,,,,6,102,194,,17.06
PAWHUSKA HS,PAWHUSKA,PAWHUSKA,OSAGE COUNTY,21.1,,,83,71,66,64,,,,284,13.46
PAWHUSKA JHS,PAWHUSKA,PAWHUSKA,OSAGE COUNTY,10.3,70,64,,,,,,,134,,13.01
PAWNEE ES,PAWNEE,PAWNEE,PAWNEE COUNTY,22.8,,,,,,,,128,266,,17.28
PAWNEE HS,PAWNEE,PAWNEE,PAWNEE COUNTY,16.1,,,59,44,46,49,,,,198,12.3
PAWNEE MS,PAWNEE,PAWNEE,PAWNEE COUNTY,11.5,54,52,,,,,,,155,,13.48
PEARY ES,TULSA,TULSA,TULSA COUNTY,22.9,,,,,,,,108,247,,15.5
PEAVINE PUBLIC SCHOOL,STILWELL,STILWELL,ADAIR COUNTY,11.3,24,20,,,,,,38,141,,15.84
PECKHAM PUBLIC SCHOOL,NEWKIRK,NEWKIRK,KAY COUNTY,8.5,5,6,,,,,,25,69,,11.06
PEGGS PUBLIC SCHOOL,PEGGS,PEGGS,CHEROKEE COUNTY,12,26,24,,,,,7,42,191,,20
PENN ES,TULSA,TULSA,TULSA COUNTY,17.9,,,,,,,,71,190,,14.58
PERKINS-TRYON ES,PERKINS,PERKINS,PAYNE COUNTY,27.5,,,,,,,,220,317,,19.53
PERKINS-TRYON HS,PERKINS,PERKINS,PAYNE COUNTY,19.4,,,,101,93,76,,,,270,13.92
PERKINS-TRYON INTERMEDIATE ES,PERKINS,PERKINS,PAYNE COUNTY,21.1,,,,,,,,,309,,14.64
PERKINS-TRYON JHS,PERKINS,PERKINS,PAYNE COUNTY,21.8,118,88,109,,,,,,206,109,14.45
PERRY ES,PERRY,PERRY,NOBLE COUNTY,43.3,,,,,,,,178,527,,16.28
PERRY HS,PERRY,PERRY,NOBLE COUNTY,23,,,90,84,68,76,,,,318,13.83
PERRY JHS,PERRY,PERRY,NOBLE COUNTY,10,67,100,,,,,,,167,,16.7
PERSHING ES,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,19,,,,,,,,41,262,,15.95
PETERS ES,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,30.9,,,,,,,,137,406,,17.57
PHILLIPS ES,TULSA,TULSA,TULSA COUNTY,18.2,,,,,,,,60,201,,14.34
PICKETT-CENTER PUBLIC SCHOOL,ADA,ADA,PONTOTOC COUNTY,10.2,10,9,,,,,,18,88,,10.39
PIEDMONT ES,PIEDMONT,PIEDMONT,CANADIAN COUNTY,29.2,,,,,,,3,87,400,,16.78
PIEDMONT HS,PIEDMONT,PIEDMONT,CANADIAN COUNTY,40,,,172,175,152,158,,,,657,16.43
PIEDMONT MS,PIEDMONT,PIEDMONT,CANADIAN COUNTY,32.3,201,194,,,,,3,,584,,18.17
PIEDMONT PRIMARY ES,PIEDMONT,PIEDMONT,CANADIAN COUNTY,10,,,,,,,3,181,,,18.4
PIERCE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,14.9,,,,,,,,72,154,,15.17
PIONEER ES,ELK CITY,ELK CITY,BECKHAM COUNTY,16.9,,,,,,,,437,,,25.86
PIONEER INTERMEDIATE ES,NOBLE,NOBLE,CLEVELAND COUNTY,24,,,,,,,,,469,,19.54
PIONEER PARK ES,LAWTON,LAWTON,COMANCHE COUNTY,20.1,,,,,,,,45,283,,16.32
PIONEER PUBLIC SCHOOL,CHICKASHA,CHICKASHA,GRADY COUNTY,23.5,35,21,,,,,,92,273,,15.53
PIONEER-PLEASANT VALE ES,ENID,ENID,GARFIELD COUNTY,21.7,,,,,,,,70,255,,14.98
PIONEER-PLEASANT VALE HS,WAUKOMIS,WAUKOMIS,GARFIELD COUNTY,9,,,46,23,35,46,,,,150,16.67
PIONEER-PLEASANT VALE JHS,WAUKOMIS,WAUKOMIS,GARFIELD COUNTY,4.7,42,49,,,,,,,91,,19.36
PITTSBURG ES,PITTSBURG,PITTSBURG,PITTSBURG COUNTY,9.4,10,14,,,,,,26,89,,12.23
PITTSBURG HS,PITTSBURG,PITTSBURG,PITTSBURG COUNTY,4.6,,,47,58,47,42,,,,194,42.17
PLAINVIEW HS,ARDMORE,ARDMORE,CARTER COUNTY,21.4,,,105,95,88,76,,,,364,17.01
PLAINVIEW INTERMEDIATE ES,ARDMORE,ARDMORE,CARTER COUNTY,20.2,,,,,,,,,323,,15.99
PLAINVIEW MS,ARDMORE,ARDMORE,CARTER COUNTY,19.8,111,99,,,,,,,346,,17.47
PLAINVIEW PRIMARY ES,ARDMORE,ARDMORE,CARTER COUNTY,22.7,,,,,,,,188,211,,17.58
PLAINVIEW PUBLIC SCHOOL,TEXHOMA,TEXHOMA,CIMARRON COUNTY,4.2,,,,,,,,4,13,,4.05
PLATO ES,DUNCAN,DUNCAN,STEPHENS COUNTY,14.6,,,,,,,1,51,233,,19.52
PLAZA TOWERS ES,MOORE,MOORE,CLEVELAND COUNTY,26.2,,,,,,,1,115,324,,16.79
PLEASANT GROVE PUBLIC SCHOOL,SHAWNEE,SHAWNEE,POTTAWATOMIE COUNTY,14.2,15,16,,,,,,54,158,,14.93
PLEASANT HILL EC CTR,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,13.3,,,,,,,,72,143,,16.17
POCOLA ES,POCOLA,POCOLA,LE FLORE COUNTY,25.6,,,,,,,,125,323,,17.5
POCOLA HS,POCOLA,POCOLA,LE FLORE COUNTY,14.4,,,50,62,55,48,,,,215,14.93
POCOLA MS,POCOLA,POCOLA,LE FLORE COUNTY,10.6,81,55,,,,,,,187,,17.64
PONCA CITY EAST MS,PONCA CITY,PONCA CITY,KAY COUNTY,27.8,,348,,,,,4,,348,,12.66
PONCA CITY HS,PONCA CITY,PONCA CITY,KAY COUNTY,89.9,,,538,359,314,350,16,,,1561,17.54
PONCA CITY WEST MS,PONCA CITY,PONCA CITY,KAY COUNTY,51.2,344,,,,,,6,,691,,13.61
POND CREEK-HUNTER ES,POND CREEK,POND CREEK,GRANT COUNTY,13.3,23,18,,,,,2,34,161,,14.81
POND CREEK-HUNTER HS,POND CREEK,POND CREEK,GRANT COUNTY,11.4,,,23,28,21,17,,,,89,7.81
PORTER CONSOLIDATED ES,PORTER,PORTER,WAGONER COUNTY,26,33,44,,,,,,81,342,,16.27
PORTER CONSOLIDATED HS,PORTER,PORTER,WAGONER COUNTY,10.4,,,36,41,34,33,,,,144,13.85
PORUM ES,PORUM,PORUM,MUSKOGEE COUNTY,22.3,35,40,,,,,,96,297,,17.62
PORUM HS,PORUM,PORUM,MUSKOGEE COUNTY,12.8,,,34,40,34,34,,,,142,11.09
POTEAU HS,POTEAU,POTEAU,LE FLORE COUNTY,41.1,,,163,163,160,137,,,,623,15.16
POTEAU PRIMARY ES,POTEAU,POTEAU,LE FLORE COUNTY,44.4,,,,,,,2,323,385,,15.99
POTEAU UPPER ES,POTEAU,POTEAU,LE FLORE COUNTY,35.2,,,,,,,3,,533,,15.23
PRAGUE ES,PRAGUE,PRAGUE,LINCOLN COUNTY,31.6,,,,,,,,148,395,,17.18
PRAGUE HS,PRAGUE,PRAGUE,LINCOLN COUNTY,18.2,,,90,72,87,80,,,,329,18.08
PRAGUE MS,PRAGUE,PRAGUE,LINCOLN COUNTY,14.4,75,81,,,,,,,218,,15.14
PRAIRIE ES,GUYMON,GUYMON,TEXAS COUNTY,12,,,,,,,,43,147,,15.83
PRAIRIE QUEEN ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,33,,,,,,,1,151,516,,20.24
PRAIRIE VALE ES,EDMOND,EDMOND,OKLAHOMA COUNTY,28.8,,,,,,,,56,350,,14.1
PRATT ES,SAND SPRINGS,SAND SPRINGS,TULSA COUNTY,31,,,,,,,,86,442,,17.03
PRESTON ES,PRESTON,PRESTON,OKMULGEE COUNTY,22.4,48,34,,,,,,86,359,,19.87
PRESTON HS,PRESTON,PRESTON,OKMULGEE COUNTY,10.8,,,45,43,43,38,,,,169,15.65
PRETTY WATER PUBLIC SCHOOL,SAPULPA,SAPULPA,CREEK COUNTY,16.3,19,19,,,,,,56,198,,15.58
PRUE ES,PRUE,PRUE,OSAGE COUNTY,15,29,21,,,,,,36,180,,14.4
PRUE HS,PRUE,PRUE,OSAGE COUNTY,7.3,,,25,20,14,16,,,,75,10.27
PRYOR HS,PRYOR,PRYOR,MAYES COUNTY,36.6,,,,211,198,178,,,,587,16.04
PRYOR JHS,PRYOR,PRYOR,MAYES COUNTY,34.9,195,190,195,,,,3,,385,195,16.7
PURCELL ES,PURCELL,PURCELL,MCCLAIN COUNTY,23.1,,,,,,,,213,232,,19.26
PURCELL HS,PURCELL,PURCELL,MCCLAIN COUNTY,23.3,,,112,92,101,94,,,,399,17.12
PURCELL INTERMEDIATE SCHOOL,PURCELL,PURCELL,MCCLAIN COUNTY,10.5,,,,,,,,,197,,18.76
PURCELL JHS,PURCELL,PURCELL,MCCLAIN COUNTY,15.7,110,113,,,,,,,223,,14.2
PURCELL MS,PURCELL,PURCELL,MCCLAIN COUNTY,13.5,,,,,,,,,214,,15.85
PUTERBAUGH MS,MCALESTER,MCALESTER,PITTSBURG COUNTY,25.5,191,178,,,,,,,369,,14.47
PUTNAM CITY HS,WARR ACRES,OKLAHOMA CITY,OKLAHOMA COUNTY,103.2,,,506,439,430,393,,,,1768,17.13
PUTNAM CITY NORTH HS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,107.5,,,529,503,510,445,,,,1987,18.48
PUTNAM CITY WEST HS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,106.8,,,467,451,352,312,,,,1582,14.81
PUTNAM HEIGHTS ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,16,,,,,,,,95,208,,18.94
QUAIL CREEK ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,23,,,,,,,1,110,300,,17.87
QUAPAW ES,QUAPAW,QUAPAW,OTTAWA COUNTY,19.1,,,,,,,,95,217,,16.34
QUAPAW HS,QUAPAW,QUAPAW,OTTAWA COUNTY,14.3,,,48,58,34,54,,,,194,13.57
QUAPAW MS,QUAPAW,QUAPAW,OTTAWA COUNTY,10.9,60,51,,,,,,,154,,14.13
QUINTON ES,QUINTON,QUINTON,PITTSBURG COUNTY,25.7,39,41,,,,,,75,329,,15.72
QUINTON HS,QUINTON,QUINTON,PITTSBURG COUNTY,13.1,,,38,42,44,33,,,,157,11.98
RALPH DOWNS ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,30.4,,,,,,,,154,363,,17.01
RANCH HEIGHTS ES,BARTLESVILLE,BARTLESVILLE,WASHINGTON COUNTY,33.9,,,,,,,,158,397,,16.37
RANCHO VILLAGE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,18.3,,,,,,,,46,210,,13.99
RANCHWOOD ES,YUKON,YUKON,CANADIAN COUNTY,28.6,,,,,,,,122,412,,18.67
RATTAN ES,RATTAN,RATTAN,PUSHMATAHA COUNTY,21,,,,,,,,63,220,,13.48
RATTAN HS,RATTAN,RATTAN,PUSHMATAHA COUNTY,13,,,40,46,24,43,,,,153,11.77
RATTAN JHS,RATTAN,RATTAN,PUSHMATAHA COUNTY,5.9,33,39,,,,,,,72,,12.2
RAVIA PUBLIC SCHOOL,RAVIA,RAVIA,JOHNSTON COUNTY,9.6,5,11,,,,,,8,80,,9.17
RECTOR JOHNSON MS,BROKEN BOW,BROKEN BOW,MCCURTAIN COUNTY,24.8,113,106,,,,,,,337,,13.59
RED OAK ES,RED OAK,RED OAK,LATIMER COUNTY,11.3,17,15,,,,,,33,138,,15.13
RED OAK ES,OKLAHOMA CITY,OKLAHOMA CITY,CLEVELAND COUNTY,34.2,,,,,,,,111,452,,16.46
RED OAK HS,RED OAK,RED OAK,LATIMER COUNTY,5.8,,,18,17,14,19,,,,68,11.72
REMINGTON ES,TULSA,TULSA,TULSA COUNTY,21,,,,,,,,64,223,,13.67
REYDON ES,REYDON,REYDON,ROGER MILLS COUNTY,10.1,3,11,,,,,,25,85,,10.89
REYDON HS,REYDON,REYDON,ROGER MILLS COUNTY,6,,,10,7,6,10,,,,33,5.5
RHOADES ES,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,30,,,,,,,,116,416,,17.73
RICHARD KANE ES,BARTLESVILLE,BARTLESVILLE,WASHINGTON COUNTY,32.8,,,,,,,,144,334,,14.57
RICHMOND ES,STILLWATER,STILLWATER,PAYNE COUNTY,33,,,,,,,,166,381,,16.58
RIDGECREST ES,LAWTON,LAWTON,COMANCHE COUNTY,28.5,,,,,,,,57,321,,13.26
RIDGECREST ES,MIDWEST CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,23,,,,,,,,105,299,,17.57
RIDGEVIEW ES,OKC,OKLAHOMA CITY,OKLAHOMA COUNTY,21.5,,,,,,,,122,241,,16.88
RINGLING ES,RINGLING,RINGLING,JEFFERSON COUNTY,15.8,,,,,,,,60,180,,15.19
RINGLING HS,RINGLING,RINGLING,JEFFERSON COUNTY,10.3,,,,35,46,42,,,,123,11.94
RINGLING JHS,RINGLING,RINGLING,JEFFERSON COUNTY,7.6,26,26,41,,,,,,52,41,12.24
RINGWOOD ES,RINGWOOD,RINGWOOD,MAJOR COUNTY,15.3,24,26,,,,,,55,218,,17.84
RINGWOOD HS,RINGWOOD,RINGWOOD,MAJOR COUNTY,8.3,,,30,21,27,30,,,,108,13.01
RIPLEY ES,RIPLEY,RIPLEY,PAYNE COUNTY,20.4,40,34,,,,,,69,286,,17.4
RIPLEY HS,RIPLEY,RIPLEY,PAYNE COUNTY,9,,,38,40,39,32,,,,149,16.56
RIVERS ES,ALTUS,ALTUS,JACKSON COUNTY,23.3,,,,,,,,137,216,,15.15
RIVERSIDE PUBLIC SCHOOL,EL RENO,EL RENO,CANADIAN COUNTY,13.4,11,14,,,,,,33,133,,12.39
ROBERT E. LEE ES,DURANT,DURANT,BRYAN COUNTY,13.6,,,,,,,,67,138,,15.07
ROBERTSON ES,TULSA,TULSA,TULSA COUNTY,28.2,,,,,,,,125,311,,15.46
ROBIN HILL PUBLIC SCHOOL,NORMAN,NORMAN,CLEVELAND COUNTY,15.1,9,14,,,,,,75,147,,14.7
ROCK CREEK ES,DURANT,DURANT,BRYAN COUNTY,20.9,31,30,,,,,,50,287,,16.12
ROCK CREEK HS,BOKCHITO,BOKCHITO,BRYAN COUNTY,10.7,,,35,29,36,36,,,,136,12.71
ROCKDALE ES,MIAMI,MIAMI,OTTAWA COUNTY,8,,,,,,,,18,120,,17.25
ROCKWOOD ES,OKC,OKLAHOMA CITY,OKLAHOMA COUNTY,33,,,,,,,,173,418,,17.91
ROCKY MOUNTAIN PUBLIC SCHOOL,STILWELL,STILWELL,ADAIR COUNTY,13.7,20,24,,,,,,57,153,,15.33
ROFF ES,ROFF,ROFF,PONTOTOC COUNTY,13.6,24,24,,,,,,47,188,,17.28
ROFF HS,ROFF,ROFF,PONTOTOC COUNTY,10.7,,,25,25,24,22,,,,96,8.97
ROGERS MS,SPENCER,SPENCER,OKLAHOMA COUNTY,29.6,136,129,,,,,,,384,,12.97
ROLAND ES,ROLAND,ROLAND,SEQUOYAH COUNTY,41.2,,,,,,,,128,431,,13.57
ROLAND HS,ROLAND,ROLAND,SEQUOYAH COUNTY,20.8,,,,117,123,107,,,,347,16.68
ROLAND JHS,ROLAND,ROLAND,SEQUOYAH COUNTY,21.3,97,91,109,,,,,,188,109,13.94
ROLLINGWOOD ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,31.8,,,,,,,,116,392,,15.97
RONGEY MS,KIEFER,KIEFER,CREEK COUNTY,6.7,34,34,,,,,,,68,,10.15
ROOSA ES,CLAREMORE,CLAREMORE,ROGERS COUNTY,24.9,,,,,,,,94,229,,12.97
ROOSEVELT ES,PONCA CITY,PONCA CITY,KAY COUNTY,20,,,,,,,,109,232,,17.05
ROOSEVELT ES,TULSA,TULSA,TULSA COUNTY,26.3,,,,,,,,96,284,,14.45
ROOSEVELT ES,MIAMI,MIAMI,OTTAWA COUNTY,14,,,,,,,,40,204,,17.43
ROOSEVELT ES,NORMAN,NORMAN,CLEVELAND COUNTY,39.7,,,,,,,,206,479,,17.25
ROOSEVELT ES,ALTUS,ALTUS,JACKSON COUNTY,25.5,,,,,,,,96,210,,12
ROOSEVELT ES,PRYOR,PRYOR,MAYES COUNTY,22.6,,,,,,,,78,292,,16.37
ROOSEVELT MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,56.1,344,290,,,,,,,920,,16.4
ROSA PARKS ES,TULSA,TULSA,TULSA COUNTY,39.4,,,,,,,,153,454,,15.41
ROSE UNION ES,EDMOND,EDMOND,OKLAHOMA COUNTY,31.2,,,,,,,,77,338,,13.3
ROSE WITCHER ES,EL RENO,EL RENO,CANADIAN COUNTY,22.5,,,,,,,,,354,,15.73
RUSH SPRINGS ES,RUSH SPRINGS,RUSH SPRINGS,GRADY COUNTY,19.3,,,,,,,,84,211,,15.28
RUSH SPRINGS HS,RUSH SPRINGS,RUSH SPRINGS,GRADY COUNTY,12.9,,,49,40,38,37,,,,164,12.71
RUSH SPRINGS MS,RUSHSPRINGS,RUSH SPRINGS,GRADY COUNTY,7.6,48,45,,,,,,,135,,17.76
RUSSELL BABB ES,HARRAH,HARRAH,OKLAHOMA COUNTY,21.3,,,,,,,,,326,,15.31
RUSSELL DOUGHERTY ES,EDMOND,EDMOND,OKLAHOMA COUNTY,14.6,,,,,,,,60,228,,19.73
RYAL PUBLIC SCHOOL,HENRYETTA,HENRYETTA,MCINTOSH COUNTY,10.3,8,8,,,,,,18,69,,8.45
RYAN ES,RYAN,RYAN,JEFFERSON COUNTY,12.1,15,25,,,,,,38,139,,14.63
RYAN HS,RYAN,RYAN,JEFFERSON COUNTY,7.5,,,21,18,14,14,,,,67,8.93
SADLER ARTS ACADEMY,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,20,24,26,,,,,,40,326,,18.3
SALINA ES,SALINA,SALINA,MAYES COUNTY,24.3,,,,,,,,106,300,,16.71
SALINA HS,SALINA,SALINA,MAYES COUNTY,17,,,60,72,68,61,,,,261,15.35
SALINA MS,SALINA,SALINA,MAYES COUNTY,12.7,79,59,,,,,,,215,,16.93
SALK ES,TULSA,TULSA,TULSA COUNTY,31.3,,,,,,,,119,382,,16.01
SALLISAW HS,SALLISAW,SALLISAW,SEQUOYAH COUNTY,42.9,,,187,169,154,140,15,,,650,15.5
SALYER ES,GUYMON,GUYMON,TEXAS COUNTY,9.1,,,,,,,,44,88,,14.51
SAND SPRINGS EC CTR,SAND SPRINGS,SAND SPRINGS,TULSA COUNTY,12.4,,,,,,,,253,,,20.4
SANDBURG ES,TULSA,TULSA,TULSA COUNTY,13.4,,,,,,,,56,131,,13.96
SANGRE RIDGE ES,STILLWATER,STILLWATER,PAYNE COUNTY,30,,,,,,,,134,377,,17.03
SANTA FE ES,MOORE,MOORE,CLEVELAND COUNTY,33,,,,,,,,145,417,,17.03
SANTA FE HS,EDMOND,EDMOND,OKLAHOMA COUNTY,119.9,,,504,475,459,440,3,,,1878,15.69
SANTA FE SOUTH ES (CHARTER),OKC,OKLAHOMA CITY,OKLAHOMA COUNTY,19.8,,,,,,,,70,305,,18.94
SANTA FE SOUTH HS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,28.3,,,125,156,137,139,,,,557,19.68
SANTA FE SOUTH MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,21,127,130,,,,,,,384,,18.29
SAPULPA HS,SAPULPA,SAPULPA,CREEK COUNTY,61.1,,,,359,346,324,3,,,1029,16.89
SAPULPA JHS,SAPULPA,SAPULPA,CREEK COUNTY,35.9,,315,329,,,,2,,315,329,17.99
SAPULPA MS,SAPULPA,SAPULPA,CREEK COUNTY,32.8,295,,,,,,,,539,,16.43
SASAKWA ES,SASAKWA,SASAKWA,SEMINOLE COUNTY,11.3,19,18,,,,,,37,151,,16.64
SASAKWA HS,SASAKWA,SASAKWA,SEMINOLE COUNTY,5.9,,,14,17,23,18,,,,72,12.2
SAVANNA ES,SAVANNA,SAVANNA,PITTSBURG COUNTY,13,22,25,,,,,1,30,182,,16.38
SAVANNA HS,SAVANNA,SAVANNA,PITTSBURG COUNTY,14.9,,,45,51,55,45,,,,196,13.15
SAYRE ES,SAYRE,SAYRE,BECKHAM COUNTY,22.5,,,,,,,,82,285,,16.31
SAYRE HS,SAYRE,SAYRE,BECKHAM COUNTY,13.5,,,42,53,35,43,,,,173,12.81
SAYRE MS,SAYRE,SAYRE,BECKHAM COUNTY,10.3,49,43,,,,,,,147,,14.27
SCHULTER ES,SCHULTER,SCHULTER,OKMULGEE COUNTY,11.4,12,12,,,,,,29,98,,11.14
SCHULTER HS,SCHULTER,SCHULTER,OKMULGEE COUNTY,4.3,,,17,9,13,15,,,,54,12.56
SCHWARTZ ES,OKLAHOMA CITY,OKLAHOMA CITY,CLEVELAND COUNTY,16.5,,,,,,,,82,221,,18.36
SEILING ES,SEILING,SEILING,DEWEY COUNTY,18.7,,,,,,,,49,169,,11.66
SEILING JR-SR HS (JR),SEILING,SEILING,DEWEY COUNTY,7.9,37,32,30,,,,,,69,30,12.53
SEILING JR-SR HS (SR),SEILING,SEILING,DEWEY COUNTY,9.7,,,,32,32,27,1,,,91,9.48
SEMINOLE HS,SEMINOLE,SEMINOLE,SEMINOLE COUNTY,26.2,,,144,144,99,84,,,,471,17.98
SEMINOLE MS,SEMINOLE,SEMINOLE,SEMINOLE COUNTY,15.4,129,111,,,,,,,240,,15.58
SEMINOLE PLEASANT GROVE ES,SEMINOLE,SEMINOLE,SEMINOLE COUNTY,5.3,0,0,,,,,,0,0,,0
SENIOR HS,MOORELAND,MOORELAND,WOODWARD COUNTY,15.3,,,38,44,34,47,,,,163,10.65
SENIOR HS,SHATTUCK,SHATTUCK,ELLIS COUNTY,6.8,,,19,15,19,20,,,,73,10.74
SENIOR HS,ELMORE CITY,ELMORE CITY,GARVIN COUNTY,11,,,44,34,25,38,,,,141,12.82
SENIOR HS,NINNEKAH,NINNEKAH,GRADY COUNTY,9.5,,,39,30,34,30,,,,133,14
SEQUOYAH ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,23.8,,,,,,,,125,290,,17.44
SEQUOYAH ES,TULSA,TULSA,TULSA COUNTY,28.7,,,,,,,,133,335,,16.31
SEQUOYAH ES,TAHLEQUAH,TAHLEQUAH,CHEROKEE COUNTY,15.8,,,,,,,,107,171,,17.59
SEQUOYAH ES,SHAWNEE,SHAWNEE,POTTAWATOMIE COUNTY,24,,,,,,,5,,343,,14.5
SEQUOYAH ES,CLAREMORE,CLAREMORE,ROGERS COUNTY,35.2,,,,,,,,128,431,,15.88
SEQUOYAH HS,CLAREMORE,CLAREMORE,ROGERS COUNTY,30.3,,,133,118,121,97,,,,469,15.48
SEQUOYAH MS,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,34,177,174,,,,,,,550,,16.18
SEQUOYAH MS,CLAREMORE,CLAREMORE,ROGERS COUNTY,17.5,108,119,,,,,,,328,,18.74
SEQUOYAH MS,EDMOND,EDMOND,OKLAHOMA COUNTY,59.7,363,366,,,,,,,1091,,18.27
SHADY GROVE PUBLIC SCHOOL,HULBERT,HULBERT,CHEROKEE COUNTY,12.6,15,15,,,,,,34,112,,11.59
SHADY POINT PUBLIC SCHOOL,SHADY POINT,SHADY POINT,LE FLORE COUNTY,9.7,13,11,,,,,,23,90,,11.65
SHARON-MUTUAL ES,SHARON,SHARON,WOODWARD COUNTY,12.6,21,15,,,,,,40,179,,17.38
SHARON-MUTUAL HS,MUTUAL,MUTUAL,WOODWARD COUNTY,8.3,,,14,16,21,18,,,,69,8.31
SHATTUCK ES,SHATTUCK,SHATTUCK,ELLIS COUNTY,16.8,18,21,,,,,,60,194,,15.12
SHAWNEE EC CTR,SHAWNEE,SHAWNEE,POTTAWATOMIE COUNTY,25.9,,,,,,,,550,,,21.24
SHAWNEE HS,SHAWNEE,SHAWNEE,POTTAWATOMIE COUNTY,70.2,,,359,307,289,254,,,,1209,17.22
SHAWNEE MS,SHAWNEE,SHAWNEE,POTTAWATOMIE COUNTY,51.8,258,265,,,,,4,,783,,15.19
SHEDECK ES,YUKON,YUKON,CANADIAN COUNTY,24.5,,,,,,,,127,308,,17.76
SHERIDAN ROAD ES,FORT SILL,FORT SILL,COMANCHE COUNTY,29.9,,,,,,,,130,400,,17.73
SHIDLER ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,18.6,,,,,,,,96,234,,17.74
SHIDLER HS,SHIDLER,SHIDLER,OSAGE COUNTY,7.7,,,19,12,16,14,,,,61,7.92
SHIDLER MS,KAW CITY,KAW CITY,KAY COUNTY,4.7,28,22,,,,,,,86,,18.3
SILO ES,DURANT,DURANT,BRYAN COUNTY,27.6,,,,,,,,123,312,,15.76
SILO HS,DURANT,DURANT,BRYAN COUNTY,13.2,,,53,58,57,46,,,,214,16.21
SILO JHS,DURANT,DURANT,BRYAN COUNTY,7.8,53,62,,,,,,,115,,14.74
SINGLETON ES,ARKOMA,ARKOMA,LE FLORE COUNTY,14.7,30,22,,,,,,73,211,,19.32
SKELLY ES,TULSA,TULSA,TULSA COUNTY,45.9,,,,,,,,139,618,,16.49
SKELLY PUBLIC SCHOOL,WATTS,WATTS,ADAIR COUNTY,7.8,8,2,,,,,,13,49,,7.95
SKIATOOK HS,SKIATOOK,SKIATOOK,OSAGE COUNTY,47.1,,,198,191,169,162,,,,720,15.29
SKIATOOK INTERMEDIATE ES,SKIATOOK,SKIATOOK,OSAGE COUNTY,29,,,,,,,,,553,,19.07
SKY RANCH ES,OKLAHOMA CITY,OKLAHOMA CITY,CLEVELAND COUNTY,29.5,,,,,,,,87,486,,19.42
SKYLINE ES,STILLWATER,STILLWATER,PAYNE COUNTY,39.5,,,,,,,,153,401,,14.03
